nom,dos,Name,time_cost,time_cost_background_color,background_color,artwork,type_line_left,tags,tags_text,rules_text,taste,taste_background_color,faction,folder
Simple Soup,,Simple Soup,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/simple_soup.png,Dish - Extra,,,,1,#FFF2B8,Neutral,DishDeckbuilder
Prep,,Prep,,#00000000,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/prep.png,Time,,,Gain 1 Time.,,#00000000,Neutral,DishDeckbuilder
Practice Session,,Practice Session,3,#D6A23A,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/practice_session.png,Time,,,Gain 2 Time.,,#00000000,Neutral,DishDeckbuilder
Masterclass,,Masterclass,6,#D6A23A,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/masterclass.png,Time,,,Gain 3 Time.,,#00000000,Neutral,DishDeckbuilder
Cheese Board,,Cheese Board,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_board.png,Dish - Extra,,Cheese,During judging if you present another Cheese dish gain +2 Favor and 1 Time.,2,#FFF2B8,French,DishDeckbuilder
Raclette,,Raclette,5,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/raclette.png,Dish - Main,,"Cheese, Meat",Other Cheese dishes you present get +1 Taste.,4,#FFF2B8,French,DishDeckbuilder
Foie Gras Toast,,Foie Gras Toast,5,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foie_gras_toast.png,Dish - Appetizer,,Meat,If this is your only Appetizer it gets +2 Taste.,5,#FFF2B8,French,DishDeckbuilder
Bouillabaisse,,Bouillabaisse,4,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bouillabaisse.png,Dish - Main,,Seafood,During judging if this is your only Main it gets +2 Taste.,3,#FFF2B8,French,DishDeckbuilder
Escargots,,Escargots,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/escargots.png,Dish - Appetizer,,Seafood,If the Judge does not favor you this gets +2 Taste.,2,#FFF2B8,French,DishDeckbuilder
Saucisson,,Saucisson,2,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/saucisson.png,Dish - Extra,,Meat,"You may attach this to another Dish. If you do, gain 1 Time.",1,#FFF2B8,French,DishDeckbuilder
Burger,,Burger,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger.png,Dish - Main,,"Meat, Tomato",During judging if you present an Extra this gets +1 Taste.,2,#FFF2B8,American,DishDeckbuilder
Hot Dog,,Hot Dog,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/hot_dog.png,Dish - Main,,Meat,"During judging if you present another Main this gets +2 Taste. If that Main is Meat, gain 1 Time.",2,#FFF2B8,American,DishDeckbuilder
Fried Chicken,,Fried Chicken,4,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fried_chicken.png,Dish - Main,,"Meat, Fried",During judging if you present another Fried dish this gets +2 Taste.,3,#FFF2B8,American,DishDeckbuilder
Freedom Fries,,Freedom Fries,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/french_fries.png,Dish - Extra,,Fried,During judging if you present a Meat dish this gets +2 Taste and you gain 1 Time.,1,#FFF2B8,American,DishDeckbuilder
