nom,dos,Name,time_cost,time_cost_background_color,background_color,artwork,type_line_left,tags,tags_text,rules_text,taste,taste_background_color,faction,folder
Soupe simple,,Soupe simple,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/simple_soup.png,Plat - Extra,,,,1,#FFF2B8,Neutre,DishDeckbuilder
Preparation,,Preparation,,#00000000,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/prep.png,Temps,,,Gagnez 1 Temps.,,#00000000,Neutre,DishDeckbuilder
Seance d'entrainement,,Seance d'entrainement,3,#D6A23A,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/practice_session.png,Temps,,,Gagnez 2 Temps.,,#00000000,Neutre,DishDeckbuilder
Masterclass,,Masterclass,6,#D6A23A,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/masterclass.png,Temps,,,Gagnez 3 Temps.,,#00000000,Neutre,DishDeckbuilder
Plateau de fromages,,Plateau de fromages,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_board.png,Plat - Extra,,Fromage,Au jugement si vous presentez un autre plat Fromage gagnez +2 Faveur.,2,#FFF2B8,Francais,DishDeckbuilder
Raclette,,Raclette,5,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/raclette.png,Plat - Principal,,"Fromage, Viande",Vos autres plats Fromage presentes gagnent +1 Gout.,4,#FFF2B8,Francais,DishDeckbuilder
Toast de foie gras,,Toast de foie gras,5,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foie_gras_toast.png,Plat - Entree,,Viande,Si c'est votre seule Entree ce plat gagne +2 Gout.,5,#FFF2B8,Francais,DishDeckbuilder
Bouillabaisse,,Bouillabaisse,4,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bouillabaisse.png,Plat - Principal,,Fruits de mer,Au jugement si c'est votre seul Plat ce plat gagne +2 Gout.,3,#FFF2B8,Francais,DishDeckbuilder
Escargots,,Escargots,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/escargots.png,Plat - Entree,,Fruits de mer,Si le Juge favorise votre adversaire ce plat gagne +2 Gout.,2,#FFF2B8,Francais,DishDeckbuilder
Saucisson,,Saucisson,2,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/saucisson.png,Plat - Extra,,Viande,Vous pouvez attacher ce plat a un autre plat.,1,#FFF2B8,Francais,DishDeckbuilder
Burger,,Burger,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/burger.png,Plat - Principal,,"Viande, Tomate",Au jugement si vous presentez un Extra ce plat gagne +1 Gout.,2,#FFF2B8,Americain,DishDeckbuilder
Hot dog,,Hot dog,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/hot_dog.png,Plat - Principal,,Viande,Au jugement si vous presentez un autre Plat ce plat gagne +1 Gout.,2,#FFF2B8,Americain,DishDeckbuilder
Poulet frit,,Poulet frit,4,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fried_chicken.png,Plat - Principal,,"Viande, Friture",Au jugement si vous presentez un autre plat Friture ce plat gagne +2 Gout.,3,#FFF2B8,Americain,DishDeckbuilder
Frites,,Frites,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/french_fries.png,Plat - Extra,,Friture,Au jugement si vous presentez un plat Viande ce plat gagne +2 Gout.,1,#FFF2B8,Americain,DishDeckbuilder
Cornichons frits,,Cornichons frits,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fried_pickles.png,Plat - Entree,,Friture,Au jugement si vous presentez un autre plat Friture ce plat gagne +2 Gout.,1,#FFF2B8,Americain,DishDeckbuilder
Sloppy Joe,,Sloppy Joe,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sloppy_joe.png,Plat - Principal,,"Viande, Tomate",Au jugement si vous presentez un autre plat Tomate gagnez +1 Faveur.,2,#FFF2B8,Americain,DishDeckbuilder
Assortiment de sushis,,Assortiment de sushis,4,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sushi_set.png,Plat - Principal,,"Fruits de mer, Riz",Au jugement si vous presentez Entree Plat et Dessert gagnez +2 Faveur.,3,#FFF2B8,Japonais,DishDeckbuilder
Onigiri,,Onigiri,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/onigiri.png,Plat - Extra,,Riz,Regardez les 2 premieres cartes de votre deck. Defaussez-en jusqu'a 1.,1,#FFF2B8,Japonais,DishDeckbuilder
Tempura,,Tempura,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tempura.png,Plat - Entree,,"Fruits de mer, Friture",Au jugement si vous ne presentez aucun doublon de plat de base ce plat gagne +1 Gout.,2,#FFF2B8,Japonais,DishDeckbuilder
Riz au curry katsu,,Riz au curry katsu,4,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/katsu_curry_rice.png,Plat - Principal,,"Friture, Riz",Si vous avez Epluche ce tour ce plat gagne +1 Gout.,3,#FFF2B8,Japonais,DishDeckbuilder
Sashimi,,Sashimi,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sashimi.png,Plat - Entree,,Fruits de mer,Piochez 1 puis defaussez 1.,2,#FFF2B8,Japonais,DishDeckbuilder
Takoyaki,,Takoyaki,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/takoyaki.png,Plat - Extra,,"Fruits de mer, Friture",Si c'est votre seul Extra vous pouvez Eplucher 1.,2,#FFF2B8,Japonais,DishDeckbuilder
Pizza margherita,,Pizza margherita,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/margherita_pizza.png,Plat - Principal,,"Fromage, Tomate",Au jugement si vous presentez un autre plat Fromage ou Tomate ce plat gagne +1 Gout.,2,#FFF2B8,Italien,DishDeckbuilder
Spaghetti bolo,,Spaghetti bolo,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/spaghetti_bolognese.png,Plat - Principal,,Tomate,Si le Juge favorise votre adversaire ce plat gagne +2 Gout.,2,#FFF2B8,Italien,DishDeckbuilder
Caprese,,Caprese,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/caprese.png,Plat - Entree,,"Fromage, Tomate",Au jugement si vous presentez un Plat gagnez +1 Faveur.,2,#FFF2B8,Italien,DishDeckbuilder
Risotto,,Risotto,4,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/risotto.png,Plat - Principal,,"Fromage, Riz",Au jugement si vous presentez un autre plat Riz ou Fromage gagnez +1 Faveur.,3,#FFF2B8,Italien,DishDeckbuilder
Tiramisu,,Tiramisu,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/tiramisu.png,Plat - Dessert,,,Si le Juge favorise votre adversaire gagnez +2 Faveur.,2,#FFF2B8,Italien,DishDeckbuilder
Arancini,,Arancini,3,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/arancini.png,Plat - Entree,,"Fromage, Riz",Au jugement si vous presentez un autre plat Riz gagnez +1 Faveur.,2,#FFF2B8,Italien,DishDeckbuilder
Coup de couteau,,Coup de couteau,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/knife_skills.png,Technique,,,Ameliorez une carte de depart de jusqu'a 2.,,#00000000,Neutre,DishDeckbuilder
Plan de travail propre,,Plan de travail propre,3,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/clean_station.png,Technique,,,Epluchez jusqu'a 2 cartes de depart.,,#00000000,Neutre,DishDeckbuilder
Degustation,,Degustation,2,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/taste_test.png,Technique,,,Piochez 2 puis defaussez 1.,,#00000000,Neutre,DishDeckbuilder
Provocation,,Provocation,5,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/heckle.png,Technique,,,Donnez une Distraction a votre adversaire.,,#00000000,Neutre,DishDeckbuilder
Parfait,,Parfait,4,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/perfect.png,Technique,,,Choisissez un plat. Doublez son Gout ce tour-ci.,,#00000000,Francais,DishDeckbuilder
Moquerie,,Moquerie,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mock.png,Reaction,,,Choisissez le plat adverse presente avec le plus de Gout. Il gagne -2 Gout ce tour-ci. Piochez 1.,,#00000000,Francais,DishDeckbuilder
Noyer dans le beurre,,Noyer dans le beurre,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/drown_in_butter.png,Reaction,,,Choisissez un plat adverse presente. S'il n'est pas Francais il gagne -3 Gout ce tour-ci.,,#00000000,Francais,DishDeckbuilder
Le mien est meilleur,,Le mien est meilleur,4,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mine_is_better.png,Reaction,,,Revelez un plat de votre main. S'il a plus de Gout qu'un plat adverse presente ce plat gagne -3 Gout ce tour-ci.,,#00000000,Francais,DishDeckbuilder
Bon appetit!,,Bon appetit!,3,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bon_appetit.png,Technique,,,Piochez 1. Au jugement si l'un de vos plats a au moins 5 Gout gagnez +2 Faveur.,,#00000000,Francais,DishDeckbuilder
Supersize Me!,,Supersize Me!,5,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/supersize_me.png,Technique,,,Au jugement copiez l'un de vos plats comme plat presente supplementaire.,,#00000000,Americain,DishDeckbuilder
Plus de viande!,,Plus de viande!,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_meat.png,Technique,,Viande,Vos plats Viande gagnent +1 Gout ce tour-ci. Au jugement si vous presentez au moins 2 plats Viande gagnez +2 Faveur.,,#00000000,Americain,DishDeckbuilder
Frire,,Frire,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/deep_fry.png,Technique,,Friture,Choisissez un plat. Il devient Friture ce tour-ci et gagne +2 Gout.,,#00000000,Americain,DishDeckbuilder
Fete,,Fete,3,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/party.png,Technique,,,Piochez 1. Au jugement si vous presentez au moins 3 plats gagnez +2 Faveur.,,#00000000,Americain,DishDeckbuilder
Passe le ketchup,,Passe le ketchup,2,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ketchup_me_that.png,Technique,,"Viande, Friture",Choisissez un plat Viande ou Friture. Il gagne +2 Gout.,,#00000000,Americain,DishDeckbuilder
Appropriation,,Appropriation,6,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/appropriate.png,Reaction,,,Choisissez un plat adverse presente. Apres le score adverse volez ce plat et ajoutez-le a votre defausse. Epluchez Appropriation.,,#00000000,Americain,DishDeckbuilder
Purifier,,Purifier,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/purify.png,Technique,,,Epluchez 2.,,#00000000,Japonais,DishDeckbuilder
Ordre,,Ordre,2,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/order.png,Technique,,,Piochez 2 puis mettez 1 carte de votre main au-dessus de votre deck.,,#00000000,Japonais,DishDeckbuilder
Omakase,,Omakase,5,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/omakase.png,Technique,,,Revelez des cartes de votre deck jusqu'a reveler un plat. Presentez-le. S'il complete les 3 plats de base gagnez +2 Faveur.,,#00000000,Japonais,DishDeckbuilder
Less is more,,Less is more,3,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/less_is_more.png,Technique,,,Au jugement si vous presentez exactement Entree Plat et Dessert sans doublon de plat de base gagnez +5 Faveur.,,#00000000,Japonais,DishDeckbuilder
Attaque wasabi,,Attaque wasabi,4,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_attack.png,Reaction,,Fruits de mer,Choisissez un plat adverse. Il gagne -1 Gout. S'il n'est pas Fruits de mer il gagne -3 Gout a la place.,,#00000000,Japonais,DishDeckbuilder
