nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_couleurTexte,taste_couleurFond,faction_taille,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Simple Soup,,Simple Soup,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/simple_soup.png,Dish - Extra,,,#FFF2B8,1,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Soupe simple,Simple Soup,Soupe simple,Simple Soup,2,2,Plat - Extra,Dish - Extra,,,,,1,1,Neutre,Neutral
Prep,,Prep,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/prep.png,Time,,Gain 1 Time.,#00000000,,Neutral,#D6A23A,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Preparation,Prep,Preparation,Prep,,,Temps,Time,,,Gagnez 1 Temps.,Gain 1 Time.,,,Neutre,Neutral
Practice Session,,Practice Session,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/practice_session.png,Time,,Gain 2 Time.,#00000000,,Neutral,#D6A23A,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Seance d'entrainement,Practice Session,Seance d'entrainement,Practice Session,3,3,Temps,Time,,,Gagnez 2 Temps.,Gain 2 Time.,,,Neutre,Neutral
Masterclass,,Masterclass,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/masterclass.png,Time,,Gain 3 Time.,#00000000,,Neutral,#D6A23A,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Masterclass,Masterclass,Masterclass,Masterclass,6,6,Temps,Time,,,Gagnez 3 Temps.,Gain 3 Time.,,,Neutre,Neutral
Cheese Board,,Cheese Board,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_board.png,Dish - Extra,Cheese,During judging if you present another Cheese dish gain +2 Favor and 1 Time.,#FFF2B8,2,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Plateau de fromages,Cheese Board,Plateau de fromages,Cheese Board,3,3,Plat - Extra,Dish - Extra,Fromage,Cheese,Au jugement si vous presentez un autre plat Fromage gagnez +2 Faveur et 1 Temps.,During judging if you present another Cheese dish gain +2 Favor and 1 Time.,2,2,Francais,French
Raclette,,Raclette,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/raclette.png,Dish - Main,"Cheese, Meat",Other Cheese dishes you present get +1 Taste.,#FFF2B8,4,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Raclette,Raclette,Raclette,Raclette,5,5,Plat - Principal,Dish - Main,"Fromage, Viande","Cheese, Meat",Vos autres plats Fromage presentes gagnent +1 Gout.,Other Cheese dishes you present get +1 Taste.,4,4,Francais,French
Foie Gras Toast,,Foie Gras Toast,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foie_gras_toast.png,Dish - Appetizer,Meat,If this is your only Appetizer it gets +2 Taste.,#FFF2B8,5,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Toast de foie gras,Foie Gras Toast,Toast de foie gras,Foie Gras Toast,5,5,Plat - Entree,Dish - Appetizer,Viande,Meat,Si c'est votre seule Entree ce plat gagne +2 Gout.,If this is your only Appetizer it gets +2 Taste.,5,5,Francais,French
Bouillabaisse,,Bouillabaisse,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bouillabaisse.png,Dish - Main,Seafood,During judging if this is your only Main it gets +2 Taste.,#FFF2B8,3,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Bouillabaisse,Bouillabaisse,Bouillabaisse,Bouillabaisse,4,4,Plat - Principal,Dish - Main,Fruits de mer,Seafood,Au jugement si c'est votre seul Plat ce plat gagne +2 Gout.,During judging if this is your only Main it gets +2 Taste.,3,3,Francais,French
Escargots,,Escargots,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/escargots.png,Dish - Appetizer,Seafood,If the Judge does not favor you this gets +2 Taste.,#FFF2B8,2,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Escargots,Escargots,Escargots,Escargots,3,3,Plat - Entree,Dish - Appetizer,Fruits de mer,Seafood,Si le Juge ne vous favorise pas ce plat gagne +2 Gout.,If the Judge does not favor you this gets +2 Taste.,2,2,Francais,French
Saucisson,,Saucisson,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/saucisson.png,Dish - Extra,Meat,"You may attach this to another Dish. If you do, gain 1 Time.",#FFF2B8,1,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Saucisson,Saucisson,Saucisson,Saucisson,2,2,Plat - Extra,Dish - Extra,Viande,Meat,"Vous pouvez attacher ce plat a un autre plat. Si vous le faites, gagnez 1 Temps.","You may attach this to another Dish. If you do, gain 1 Time.",1,1,Francais,French
