nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_police,Name_gras,Name_italique,Name_souligne,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_police,time_cost_gras,time_cost_italique,time_cost_souligne,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_police,type_line_left_gras,type_line_left_italique,type_line_left_souligne,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_police,tags_text_gras,tags_text_italique,tags_text_souligne,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_police,rules_text_gras,rules_text_italique,rules_text_souligne,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_police,taste_gras,taste_italique,taste_souligne,taste_couleurTexte,taste_couleurFond,faction_taille,faction_police,faction_gras,faction_italique,faction_souligne,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
5 Stars,,5 Stars,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/five_stars.png,Passive,,During judging if one of your dishes has strictly more Taste than every opponent's dish gain +4 Favor.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,5 Stars,,5 Stars,,7,,Passive,,,,During judging if one of your dishes has strictly more Taste than every opponent's dish gain +4 Favor.,,,,French
Algorithmic Menu,,Algorithmic Menu,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/algorithmic_menu.png,Passive,,"At the start of your turn look at the top 2 cards of your deck. You may discard one of them. If you discard a Status this way, gain 1 Favor.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Algorithmic Menu,,Algorithmic Menu,,4,,Passive,,,,"At the start of your turn look at the top 2 cards of your deck. You may discard 1. If you discard a Status this way, gain 1 Favor.",,,,Neutral
Appropriate,,Appropriate,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/appropriate.png,Reaction,,"Choose an opponent's presented dish. After that opponent scores, steal that dish and add it to your discard pile. Peel Appropriate.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Appropriate,,Appropriate,,6,,Reaction,,,,"Choose an opponent's presented dish. After that opponent scores, steal that dish and add it to your discard pile. Peel Appropriate.",,,,American
Arancini,,Arancini,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/arancini.png,Dish - Appetizer,"Cheese, Rice",During judging if you present another Rice dish gain +1 Favor.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Arancini,,Arancini,,3,,Dish - Appetizer,,"Cheese, Rice",,During judging if you present another Rice dish gain +1 Favor.,,2,,Italian
Bento Box Planning,,Bento Box Planning,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bento_box_planning.png,Technique,,Look at the top 4 cards of your deck. Put 1 into your hand. You may discard any Statuses among the rest. Put the rest on the bottom of your deck in any order.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Bento Box Planning,,Bento Box Planning,,3,,Technique,,,,Look at the top 4 cards of your deck. Put 1 into your hand. You may discard any Statuses among the rest. Put the rest on the bottom of your deck in any order.,,,,Japanese
Bon Appetit!,,Bon Appetit!,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bon_appetit.png,Technique,,Draw 1. During judging if one of your dishes has 5 or more Taste gain +2 Favor.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Bon Appetit!,,Bon Appetit!,,3,,Technique,,,,Draw 1. During judging if one of your dishes has 5 or more Taste gain +2 Favor.,,,,French
Bottomless Refills,,Bottomless Refills,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bottomless_refills.png,Passive,,During judging if you present an Extra gain +2 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Bottomless Refills,,Bottomless Refills,,5,,Passive,,,,During judging if you present an Extra gain +2 Favor.,,,,American
Bouillabaisse,,Bouillabaisse,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bouillabaisse.png,Dish - Main,Seafood,During judging if this is your only Main it gets +2 Taste.,#FFF2B8,3,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Bouillabaisse,,Bouillabaisse,,4,,Dish - Main,,Seafood,,During judging if this is your only Main it gets +2 Taste.,,3,,French
Brainstorm,,Brainstorm,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/order.png,Technique,,Draw 3 then put 2 cards from your hand on top of your deck.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Order,,Order,,3,,Technique,,,,Look at the top 5 cards of your deck. Put 2 into your hand and the rest on the bottom of your deck in any order.,,,,Japanese
Breaking Spaghetti Is A Crime,,Breaking Spaghetti Is A Crime,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/breaking_spaghetti_is_a_crime.png,Reaction,,Each opponent who modified a dish this turn gains Shame. Choose one modified dish; it gets -2 Taste.,#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Breaking Spaghetti Is A Crime,,Breaking Spaghetti Is A Crime,,4,,Reaction,,,,Each opponent who modified a dish this turn gains Shame. Choose one modified dish; it gets -2 Taste.,,,,Italian
