quantity,folder,card_name
1,DishDeckbuilder/v0.3,5 Stars
1,DishDeckbuilder/v0.3,Algorithmic Menu
2,DishDeckbuilder/v0.3,Arancini
2,DishDeckbuilder/v0.3,Bento Box Planning
2,DishDeckbuilder/v0.3,Bon Appetit!
1,DishDeckbuilder/v0.3,Bottomless Refills
2,DishDeckbuilder/v0.3,Bouillabaisse
2,DishDeckbuilder/v0.3,Brainstorm
1,DishDeckbuilder/v0.3,Breaking Spaghetti Is A Crime
1,DishDeckbuilder/v0.3,Bureaucratic Cheese Inspection
3,DishDeckbuilder/v0.3,Burger
2,DishDeckbuilder/v0.3,Caprese
2,DishDeckbuilder/v0.3,Cheese Board
1,DishDeckbuilder/v0.3,Cheese Wheel
2,DishDeckbuilder/v0.3,Chef's Kiss
2,DishDeckbuilder/v0.3,Clean Station
1,DishDeckbuilder/v0.3,Conveyor Belt
1,DishDeckbuilder/v0.3,Conveyor Belt Shogunate
1,DishDeckbuilder/v0.3,Cultural Appropriation
2,DishDeckbuilder/v0.3,Deep Fry
2,DishDeckbuilder/v0.3,Deep-Fried Pickles
2,DishDeckbuilder/v0.3,Doomscroll The Menu
2,DishDeckbuilder/v0.3,Drown in Butter
2,DishDeckbuilder/v0.3,Escargots
1,DishDeckbuilder/v0.3,Foie Gras Toast
1,DishDeckbuilder/v0.3,Foreigner Mistrust
3,DishDeckbuilder/v0.3,Freedom Fries
2,DishDeckbuilder/v0.3,Freedom Isn't Free Refills
2,DishDeckbuilder/v0.3,Fridge Raid
2,DishDeckbuilder/v0.3,Fried Chicken
1,DishDeckbuilder/v0.3,Fry Station
2,DishDeckbuilder/v0.3,Ghost Pepper Wings
3,DishDeckbuilder/v0.3,Hot Dog
1,DishDeckbuilder/v0.3,Influencer Kitchen
2,DishDeckbuilder/v0.3,Katsu Curry Rice
2,DishDeckbuilder/v0.3,Ketchup Me That
3,DishDeckbuilder/v0.3,Knife Skills
1,DishDeckbuilder/v0.3,Legislation
2,DishDeckbuilder/v0.3,Less Is More
1,DishDeckbuilder/v0.3,Fusion Is A Crime
2,DishDeckbuilder/v0.3,Mamma Mia!
2,DishDeckbuilder/v0.3,Mandatory Lunch Strike
2,DishDeckbuilder/v0.3,"Mangia, Mangia!"
3,DishDeckbuilder/v0.3,Margherita Pizza
2,DishDeckbuilder/v0.3,Market Research Focus Group
10,DishDeckbuilder/v0.3,Masterclass
1,DishDeckbuilder/v0.3,Meal Prep Containers
1,DishDeckbuilder/v0.3,Meal Prep Subscription
2,DishDeckbuilder/v0.3,Midnight Snack
1,DishDeckbuilder/v0.3,Mine Is Better
2,DishDeckbuilder/v0.3,Mise En Place
2,DishDeckbuilder/v0.3,Mock
2,DishDeckbuilder/v0.3,More Meat!
2,DishDeckbuilder/v0.3,More Olive Oil!
2,DishDeckbuilder/v0.3,More Parmigiano!
2,DishDeckbuilder/v0.3,Nonna Says No
1,DishDeckbuilder/v0.3,Nonna's Table
1,DishDeckbuilder/v0.3,Nonna's Witness Protection
1,DishDeckbuilder/v0.3,Omakase
3,DishDeckbuilder/v0.3,Onigiri
2,DishDeckbuilder/v0.3,Pantry Raid
2,DishDeckbuilder/v0.3,Party
2,DishDeckbuilder/v0.3,Perfect
1,DishDeckbuilder/v0.3,Pineapple Tribunal
10,DishDeckbuilder/v0.3,Practice Session
6,DishDeckbuilder/v0.3,Prep
2,DishDeckbuilder/v0.3,Purify
2,DishDeckbuilder/v0.3,Raclette
1,DishDeckbuilder/v0.3,Red Sauce Empire
1,DishDeckbuilder/v0.3,Review Bomb Campaign
1,DishDeckbuilder/v0.3,Rice Cooker
2,DishDeckbuilder/v0.3,Risotto
2,DishDeckbuilder/v0.3,Sashimi
3,DishDeckbuilder/v0.3,Saucisson
1,DishDeckbuilder/v0.3,Seafood Counter
1,DishDeckbuilder/v0.3,Secondo
2,DishDeckbuilder/v0.3,Secret Family Recipe
3,DishDeckbuilder/v0.3,Side Salad
2,DishDeckbuilder/v0.3,Simple Soup
2,DishDeckbuilder/v0.3,Sloppy Joe
2,DishDeckbuilder/v0.3,Spaghetti Bolognese
1,DishDeckbuilder/v0.3,Steakhouse
2,DishDeckbuilder/v0.3,Super Bowl Commercial Break
1,DishDeckbuilder/v0.3,Supersize Me!
2,DishDeckbuilder/v0.3,Sushi Set
2,DishDeckbuilder/v0.3,Takoyaki
3,DishDeckbuilder/v0.3,Taste Test
2,DishDeckbuilder/v0.3,Tasting Menu
2,DishDeckbuilder/v0.3,Tempura
2,DishDeckbuilder/v0.3,Tiramisu
1,DishDeckbuilder/v0.3,Wage Inequalities
1,DishDeckbuilder/v0.3,Wasabi Attack
2,DishDeckbuilder/v0.3,Wasabi Challenge
1,DishDeckbuilder/v0.3,We're Gonna Build A Wall
1,DishDeckbuilder/v0.3,Without Cream!
2,DishDeckbuilder/v0.3,You Call That Sushi?
