quantity,folder,card_name
10,DishDeckbuilder,Prep
16,DishDeckbuilder,Simple Soup
10,DishDeckbuilder,Practice Session
10,DishDeckbuilder,Masterclass
10,DishDeckbuilder,Distraction
2,DishDeckbuilder,Cheese Board
2,DishDeckbuilder,Raclette
1,DishDeckbuilder,Foie Gras Toast
2,DishDeckbuilder,Bouillabaisse
2,DishDeckbuilder,Escargots
3,DishDeckbuilder,Saucisson
3,DishDeckbuilder,Burger
3,DishDeckbuilder,Hot Dog
2,DishDeckbuilder,Fried Chicken
3,DishDeckbuilder,French Fries
2,DishDeckbuilder,Deep-Fried Pickles
2,DishDeckbuilder,Sloppy Joe
2,DishDeckbuilder,Sushi Set
3,DishDeckbuilder,Onigiri
2,DishDeckbuilder,Tempura
2,DishDeckbuilder,Katsu Curry Rice
2,DishDeckbuilder,Sashimi
2,DishDeckbuilder,Takoyaki
3,DishDeckbuilder,Margherita Pizza
2,DishDeckbuilder,Spaghetti Bolognese
2,DishDeckbuilder,Caprese
2,DishDeckbuilder,Risotto
2,DishDeckbuilder,Tiramisu
2,DishDeckbuilder,Arancini
3,DishDeckbuilder,Knife Skills
2,DishDeckbuilder,Clean Station
3,DishDeckbuilder,Taste Test
1,DishDeckbuilder,Heckle
2,DishDeckbuilder,Perfect
2,DishDeckbuilder,Mock
2,DishDeckbuilder,Drown in Butter
1,DishDeckbuilder,Mine Is Better
2,DishDeckbuilder,Bon Appetit!
1,DishDeckbuilder,Supersize Me!
2,DishDeckbuilder,More Meat!
2,DishDeckbuilder,Deep Fry
2,DishDeckbuilder,Party
2,DishDeckbuilder,Ketchup Me That
1,DishDeckbuilder,Appropriate
2,DishDeckbuilder,Purify
2,DishDeckbuilder,Order
1,DishDeckbuilder,Omakase
2,DishDeckbuilder,Less Is More
1,DishDeckbuilder,Wasabi Attack
2,DishDeckbuilder,"Mangia, Mangia!"
2,DishDeckbuilder,Mamma Mia!
1,DishDeckbuilder,Secondo
1,DishDeckbuilder,Breaking Spaghetti Is A Crime
2,DishDeckbuilder,More Olive Oil!
2,DishDeckbuilder,More Parmigiano!
1,DishDeckbuilder,5 Stars
1,DishDeckbuilder,Bottomless Refills
1,DishDeckbuilder,Conveyor Belt
1,DishDeckbuilder,Nonna's Table
1,DishDeckbuilder,Steakhouse
1,DishDeckbuilder,Seafood Counter
1,DishDeckbuilder,Cheese Wheel
1,DishDeckbuilder,Fry Station
1,DishDeckbuilder,Red Sauce Empire
1,DishDeckbuilder,Rice Cooker
