quantity,folder,card_name
10,DishDeckbuilder/v0.2,Preparation
16,DishDeckbuilder/v0.2,Soupe simple
10,DishDeckbuilder/v0.2,Seance d'entrainement
10,DishDeckbuilder/v0.2,Masterclass
2,DishDeckbuilder/v0.2,Plateau de fromages
2,DishDeckbuilder/v0.2,Raclette
1,DishDeckbuilder/v0.2,Toast de foie gras
2,DishDeckbuilder/v0.2,Bouillabaisse
2,DishDeckbuilder/v0.2,Escargots
3,DishDeckbuilder/v0.2,Saucisson
3,DishDeckbuilder/v0.2,Burger
3,DishDeckbuilder/v0.2,Hot dog
2,DishDeckbuilder/v0.2,Poulet frit
3,DishDeckbuilder/v0.2,Frites de la liberte
2,DishDeckbuilder/v0.2,Cornichons frits
2,DishDeckbuilder/v0.2,Sloppy Joe
2,DishDeckbuilder/v0.2,Assortiment de sushis
3,DishDeckbuilder/v0.2,Onigiri
2,DishDeckbuilder/v0.2,Tempura
2,DishDeckbuilder/v0.2,Riz au curry katsu
2,DishDeckbuilder/v0.2,Sashimi
2,DishDeckbuilder/v0.2,Takoyaki
3,DishDeckbuilder/v0.2,Pizza margherita
2,DishDeckbuilder/v0.2,Spaghetti bolo
2,DishDeckbuilder/v0.2,Caprese
2,DishDeckbuilder/v0.2,Risotto
2,DishDeckbuilder/v0.2,Tiramisu
2,DishDeckbuilder/v0.2,Arancini
2,DishDeckbuilder/v0.2,Ailes au piment fantome
2,DishDeckbuilder/v0.2,Defi wasabi
3,DishDeckbuilder/v0.2,Salade d'accompagnement
2,DishDeckbuilder/v0.2,Menu degustation
3,DishDeckbuilder/v0.2,Coup de couteau
2,DishDeckbuilder/v0.2,Plan de travail propre
3,DishDeckbuilder/v0.2,Degustation
2,DishDeckbuilder/v0.2,Provocation
2,DishDeckbuilder/v0.2,Parfait
2,DishDeckbuilder/v0.2,Moquerie
2,DishDeckbuilder/v0.2,Noyer dans le beurre
1,DishDeckbuilder/v0.2,Le mien est meilleur
2,DishDeckbuilder/v0.2,Bon appetit!
1,DishDeckbuilder/v0.2,Supersize Me!
2,DishDeckbuilder/v0.2,Plus de viande!
2,DishDeckbuilder/v0.2,Frire
2,DishDeckbuilder/v0.2,Fete
2,DishDeckbuilder/v0.2,Passe le ketchup
1,DishDeckbuilder/v0.2,Appropriation
2,DishDeckbuilder/v0.2,Purifier
2,DishDeckbuilder/v0.2,Ordre
1,DishDeckbuilder/v0.2,Omakase
2,DishDeckbuilder/v0.2,Less is more
1,DishDeckbuilder/v0.2,Attaque wasabi
2,DishDeckbuilder/v0.2,"Mangia, Mangia!"
2,DishDeckbuilder/v0.2,Mamma Mia!
1,DishDeckbuilder/v0.2,Secondo
1,DishDeckbuilder/v0.2,Casser les spaghetti est un crime
2,DishDeckbuilder/v0.2,Plus d'huile d'olive!
2,DishDeckbuilder/v0.2,Plus de parmigiano!
2,DishDeckbuilder/v0.2,Groupe de consommateurs
2,DishDeckbuilder/v0.2,Bombardement Yelp
1,DishDeckbuilder/v0.2,Descente de l'inspection sanitaire
1,DishDeckbuilder/v0.2,On va construire un mur
2,DishDeckbuilder/v0.2,Les refills de la liberte ne sont pas gratuits
2,DishDeckbuilder/v0.2,Greve du dejeuner obligatoire
2,DishDeckbuilder/v0.2,Vous appelez ca des sushis ?
2,DishDeckbuilder/v0.2,Nonna dit non
1,DishDeckbuilder/v0.2,Tribunal de l'ananas
2,DishDeckbuilder/v0.2,Raid dans le garde-manger
2,DishDeckbuilder/v0.2,Mise en place
2,DishDeckbuilder/v0.2,Scroller le menu en panique
2,DishDeckbuilder/v0.2,Baiser du chef
2,DishDeckbuilder/v0.2,Pub du Super Bowl
2,DishDeckbuilder/v0.2,Planification du bento
2,DishDeckbuilder/v0.2,Recette secrete de famille
2,DishDeckbuilder/v0.2,Snack de minuit
2,DishDeckbuilder/v0.2,Raid dans le frigo
1,DishDeckbuilder/v0.2,5 etoiles
1,DishDeckbuilder/v0.2,Refills a volonte
1,DishDeckbuilder/v0.2,Tapis roulant
1,DishDeckbuilder/v0.2,Table de Nonna
1,DishDeckbuilder/v0.2,Steakhouse
1,DishDeckbuilder/v0.2,Comptoir de la mer
1,DishDeckbuilder/v0.2,Meule de fromage
