id,name_en,name_fr,factions,frame_color,copies,time_cost,type,effect_en,effect_fr,cares_about_tags,notes,artwork_url
five_stars,5 Stars,5 etoiles,French,#2F5DA8,1,7,Passive,During judging if one of your dishes has strictly more Taste than every opponent's dish gain +2 Favor.,Au jugement si l'un de vos plats a strictement plus de Gout que chaque plat adverse gagnez +2 Faveur.,,French superiority.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/five_stars.png
bottomless_refills,Bottomless Refills,Refills a volonte,American,#C44736,1,5,Passive,During judging if you present an Extra gain +2 Favor.,Au jugement si vous presentez un Extra gagnez +2 Faveur.,,American Extra engine.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bottomless_refills.png
conveyor_belt,Conveyor Belt,Tapis roulant,Japanese,#2F7D6D,1,5,Passive,"At the start of your turn, before drawing, look at the top 5 cards of your deck. You may discard any Statuses among them. Put any number of the rest on the bottom of your deck and the rest on top in any order.","Au debut de votre tour, avant de piocher, regardez les 5 premieres cartes de votre deck. Vous pouvez defausser les Statuts parmi elles. Mettez autant de cartes restantes que vous voulez sous votre deck et le reste dessus dans l'ordre de votre choix.",,Japanese draw smoothing plus status cleanup.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt.png
nonnas_table,Nonna's Table,Table de Nonna,Italian,#3F8F45,1,6,Passive,"The first time each turn you present 4 or more dishes gain +2 Favor. If the Judge does not favor you, gain +3 Favor instead.","La premiere fois chaque tour que vous presentez au moins 4 plats gagnez +2 Faveur. Si le Juge ne vous favorise pas, gagnez +3 Faveur a la place.",,Italian abundance and comeback.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_table.png
steakhouse,Steakhouse,Steakhouse,French+American,#9A4D2E,1,5,Passive,Your first Meat dish each turn gets +1 Taste. During judging if you present at least 2 Meat dishes gain +2 Favor.,Votre premier plat Viande chaque tour gagne +1 Gout. Au jugement si vous presentez au moins 2 plats Viande gagnez +2 Faveur.,Meat,French American bridge.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/steakhouse.png
seafood_counter,Seafood Counter,Comptoir de la mer,French+Japanese,#1F8A9B,1,4,Passive,During judging if you present a Seafood dish gain +1 Favor and you may Peel 1.,Au jugement si vous presentez un plat Fruits de mer gagnez +1 Faveur et vous pouvez Eplucher 1.,Seafood,French Japanese bridge.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/seafood_counter.png
cheese_wheel,Cheese Wheel,Meule de fromage,French+Italian,#F2C14E,1,5,Passive,Your Cheese dishes get +1 Taste.,Vos plats Fromage gagnent +1 Gout.,Cheese,French Italian bridge.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_wheel.png
fry_station,Fry Station,Station de friture,American+Japanese,#D9822B,1,4,Passive,During judging if you present a Fried dish gain +2 Favor.,Au jugement si vous presentez un plat Friture gagnez +2 Faveur.,Fried,American Japanese bridge.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fry_station.png
red_sauce_empire,Red Sauce Empire,Empire de sauce rouge,American+Italian,#D6453D,1,4,Passive,Your Tomato dishes get +1 Taste and cost 1 less to learn.,Vos plats Tomate gagnent +1 Gout et coutent 1 de moins a apprendre.,Tomato,American Italian bridge.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/red_sauce_empire.png
rice_cooker,Rice Cooker,Cuiseur a riz,Japanese+Italian,#E6D8B8,1,4,Passive,Rice dishes cost 1 less to learn. The first Rice dish you learn each turn goes on top of your deck even if it is not your first learned card.,Les plats Riz coutent 1 de moins a apprendre. Le premier plat Riz que vous apprenez chaque tour va au-dessus de votre deck meme si ce n'est pas votre premiere carte apprise.,Rice,Japanese Italian bridge.,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/rice_cooker.png
