name,body,color,cost
Simple Soup,Dish - Extra; Taste 1.,#7A7A72,2
Prep,Time; Gain 1 Time.,#D6A23A,
Practice Session,Time; Gain 2 Time.,#D6A23A,3
Masterclass,Time; Gain 3 Time.,#D6A23A,6
Cheese Board,Dish - Extra; Tags: Cheese; During judging if you present another Cheese dish gain +2 Favor and 1 Time.; Taste 2.,#2F5DA8,3
Raclette,"Dish - Main; Tags: Cheese, Meat; Other Cheese dishes you present get +1 Taste.; Taste 4.",#2F5DA8,5
Foie Gras Toast,Dish - Appetizer; Tags: Meat; If this is your only Appetizer it gets +2 Taste.; Taste 5.,#2F5DA8,5
Bouillabaisse,Dish - Main; Tags: Seafood; During judging if this is your only Main it gets +2 Taste.; Taste 3.,#2F5DA8,4
Escargots,Dish - Appetizer; Tags: Seafood; If the Judge does not favor you this gets +2 Taste.; Taste 2.,#2F5DA8,3
Saucisson,"Dish - Extra; Tags: Meat; You may attach this to another Dish. If you do, gain 1 Time.; Taste 1.",#2F5DA8,2
Burger,"Dish - Main; Tags: Meat, Tomato; During judging if you present an Extra this gets +1 Taste.; Taste 2.",#C44736,3
Hot Dog,"Dish - Main; Tags: Meat; During judging if you present another Main this gets +2 Taste. If that Main is Meat, gain 1 Time.; Taste 2.",#C44736,2
Fried Chicken,"Dish - Main; Tags: Meat, Fried; During judging if you present another Fried dish this gets +2 Taste.; Taste 3.",#C44736,4
Freedom Fries,Dish - Extra; Tags: Fried; During judging if you present a Meat dish this gets +2 Taste and you gain 1 Time.; Taste 1.,#C44736,2
Deep-Fried Pickles,Dish - Appetizer; Tags: Fried; During judging if you present another Fried dish this gets +2 Taste and each opponent gains Food Coma.; Taste 1.,#C44736,2
Sloppy Joe,"Dish - Main; Tags: Meat, Tomato; During judging if you present another Tomato dish gain +1 Favor.; Taste 2.",#C44736,3
Sushi Set,"Dish - Main; Tags: Seafood, Rice; During judging if you present Appetizer Main and Dessert gain +2 Favor.; Taste 3.",#2F7D6D,4
Onigiri,"Dish - Extra; Tags: Rice; Look at the top 3 cards of your deck. Discard up to 1 of them. If it is a Status, Peel it instead.; Taste 1.",#2F7D6D,2
Tempura,"Dish - Appetizer; Tags: Seafood, Fried; During judging if you present no duplicate core course this gets +1 Taste.; Taste 2.",#2F7D6D,3
Katsu Curry Rice,"Dish - Main; Tags: Fried, Rice; If you Peeled this turn this gets +1 Taste.; Taste 3.",#2F7D6D,4
Sashimi,"Dish - Appetizer; Tags: Seafood; Draw 2 then discard 1. If you discard a Status, gain 1 Time.; Taste 2.",#2F7D6D,3
Takoyaki,"Dish - Extra; Tags: Seafood, Fried; If this is your only Extra, you may Peel 1. Then look at the top 2 cards of your deck. You may put 1 on the bottom of your deck.; Taste 2.",#2F7D6D,3
